Town|Date|Amount
Chinsali|Nov 16|2837.4
Chinsali|Dec 16|2788.35
Chinsali|Jan 17|2728
Chinsali|Feb 17|2740.65
Chinsali|Mar 17|1398.4
Chinsali|Apr 17|2906.65
Chinsali|May 17|2777.65
Chinsali|Jun 17|2788.65
Chinsali|Jul 17|2770.55
Chinsali|Aug 17|
Chinsali|Sep 17|
Chinsali|Oct 17|2939.83
Chinsali|Nov 17|2866.75
Chinsali|Dec 17|2911.25
Chinsali|Jan 18|3452.75
Chinsali|Feb 18|3399.38
Chinsali|Mar 18|3701
Chinsali|Apr 18|3760
Chipata|Nov 16|
Chipata|Dec 16|2639.26
Chipata|Jan 17|2730.83
Chipata|Feb 17|2730.83
Chipata|Mar 17|2594.98
Chipata|Apr 17|2646.25
Chipata|May 17|2582.45
Chipata|Jun 17|2611.43
Chipata|Jul 17|2499.73
Chipata|Aug 17|2537.39
Chipata|Sep 17|2463.78
Chipata|Oct 17|2475.41
Chipata|Nov 17|2448.9
Chipata|Dec 17|2526.25
Chipata|Jan 18|2349.39
Chipata|Feb 18|2263.93
Chipata|Mar 18|2647.51
Chipata|Apr 18|2828.46
Choma|Nov 16|3575.83
Choma|Dec 16|3717.5
Choma|Jan 17|3662.44
Choma|Feb 17|3714.9
Choma|Mar 17|3597.98
Choma|Apr 17|3715.83
Choma|May 17|3676.25
Choma|Jun 17|3677.26
Choma|Jul 17|3495.46
Choma|Aug 17|3619.96
Choma|Sep 17|3751.21
Choma|Oct 17|3786.76
Choma|Nov 17|3654.36
Choma|Dec 17|3476.39
Choma|Jan 18|4170.31
Choma|Feb 18|4170.31
Choma|Mar 18|3784.81
Choma|Apr 18|
Kabwe|Nov 16|3514.46
Kabwe|Dec 16|3485.99
Kabwe|Jan 17|3523.88
Kabwe|Feb 17|3612.16
Kabwe|Mar 17|3449.2
Kabwe|Apr 17|3439.03
Kabwe|May 17|3438.04
Kabwe|Jun 17|3538.46
Kabwe|Jul 17|3531.39
Kabwe|Aug 17|3509.56
Kabwe|Sep 17|3480
Kabwe|Oct 17|3525.66
Kabwe|Nov 17|3534.03
Kabwe|Dec 17|3547.39
Kabwe|Jan 18|3467.96
Kabwe|Feb 18|3414.76
Kabwe|Mar 18|3508.27
Kabwe|Apr 18|
Kasama|Nov 16|5005.14
Kasama|Dec 16|2997.91
Kasama|Jan 17|3011.64
Kasama|Feb 17|2964.86
Kasama|Mar 17|2982.58
Kasama|Apr 17|
Kasama|May 17|3063.23
Kasama|Jun 17|2872.8
Kasama|Jul 17|2875
Kasama|Aug 17|2953.62
Kasama|Sep 17|2951.92
Kasama|Oct 17|2938.71
Kasama|Nov 17|3033.65
Kasama|Dec 17|3006.61
Kasama|Jan 18|3320.46
Kasama|Feb 18|3391.7
Kasama|Mar 18|3334.91
Kasama|Apr 18|3261.21
Kitwe|Nov 16|
Kitwe|Dec 16|3946
Kitwe|Jan 17|4034.37
Kitwe|Feb 17|4031.28
Kitwe|Mar 17|2090.12
Kitwe|Apr 17|3983.53
Kitwe|May 17|3726.46
Kitwe|Jun 17|3755.97
Kitwe|Jul 17|3755.97
Kitwe|Aug 17|3666.44
Kitwe|Sep 17|4026.04
Kitwe|Oct 17|4082.2
Kitwe|Nov 17|4035.74
Kitwe|Dec 17|3973.76
Kitwe|Jan 18|4392.3
Kitwe|Feb 18|4268.05
Kitwe|Mar 18|4537.17
Kitwe|Apr 18|4428.92
Livingstone|Nov 16|3817.7
Livingstone|Dec 16|3911.08
Livingstone|Jan 17|3900.83
Livingstone|Feb 17|3863.69
Livingstone|Mar 17|3869.9
Livingstone|Apr 17|3869.9
Livingstone|May 17|4264.05
Livingstone|Jun 17|3844.59
Livingstone|Jul 17|3795.61
Livingstone|Aug 17|3796.35
Livingstone|Sep 17|3736.99
Livingstone|Oct 17|3774.4
Livingstone|Nov 17|3773.6
Livingstone|Dec 17|3756.51
Livingstone|Jan 18|3999.65
Livingstone|Feb 18|4211.85
Livingstone|Mar 18|4184.49
Livingstone|Apr 18|
Luanshya|Nov 16|
Luanshya|Dec 16|3709.68
Luanshya|Jan 17|3701.76
Luanshya|Feb 17|3699.12
Luanshya|Mar 17|
Luanshya|Apr 17|3688.43
Luanshya|May 17|4262.17
Luanshya|Jun 17|3713.41
Luanshya|Jul 17|3694.85
Luanshya|Aug 17|3688.01
Luanshya|Sep 17|3585.88
Luanshya|Oct 17|
Luanshya|Nov 17|3668.43
Luanshya|Dec 17|3568.94
Luanshya|Jan 18|3813.43
Luanshya|Feb 18|3642.46
Luanshya|Mar 18|3908.45
Luanshya|Apr 18|3986.79
Lusaka|Nov 16|5005.14
Lusaka|Dec 16|4976.67
Lusaka|Jan 17|4935.46
Lusaka|Feb 17|4918.76
Lusaka|Mar 17|5017.09
Lusaka|Apr 17|4973.03
Lusaka|May 17|4952.69
Lusaka|Jun 17|4958.52
Lusaka|Jul 17|4859.35
Lusaka|Aug 17|4928.37
Lusaka|Sep 17|4883.57
Lusaka|Oct 17|4869.47
Lusaka|Nov 17|4924.54
Lusaka|Dec 17|4957.47
Lusaka|Jan 18|5229.14
Lusaka|Feb 18|5385.42
Lusaka|Mar 18|5574.81
Lusaka|Apr 18|5433.04
Mansa|Nov 16|2714.57
Mansa|Dec 16|2757.43
Mansa|Jan 17|3167.45
Mansa|Feb 17|3137.83
Mansa|Mar 17|3103.45
Mansa|Apr 17|3319.76
Mansa|May 17|3241.22
Mansa|Jun 17|3241.33
Mansa|Jul 17|
Mansa|Aug 17|
Mansa|Sep 17|2673.79
Mansa|Oct 17|2940.46
Mansa|Nov 17|2945.15
Mansa|Dec 17|2751.78
Mansa|Jan 18|2960.87
Mansa|Feb 18|2720.82
Mansa|Mar 18|2894.82
Mansa|Apr 18|
Mongu|Nov 16|3072.42
Mongu|Dec 16|2991.11
Mongu|Jan 17|2968.42
Mongu|Feb 17|3018.03
Mongu|Mar 17|3211.17
Mongu|Apr 17|
Mongu|May 17|3002.01
Mongu|Jun 17|2986.87
Mongu|Jul 17|
Mongu|Aug 17|2955.48
Mongu|Sep 17|2947.62
Mongu|Oct 17|3010.66
Mongu|Nov 17|3033.33
Mongu|Dec 17|3033.33
Mongu|Jan 18|2954.27
Mongu|Feb 18|3047.18
Mongu|Mar 18|3132.53
Mongu|Apr 18|3315.04
Monze|Nov 16|3210.25
Monze|Dec 16|3347.5
Monze|Jan 17|3771.5
Monze|Feb 17|3722.75
Monze|Mar 17|3720
Monze|Apr 17|3746.5
Monze|May 17|3797.5
Monze|Jun 17|3746.25
Monze|Jul 17|3670.05
Monze|Aug 17|3582.8
Monze|Sep 17|3652.55
Monze|Oct 17|
Monze|Nov 17|3746.55
Monze|Dec 17|3836.3
Monze|Jan 18|3938.63
Monze|Feb 18|3792.63
Monze|Mar 18|3919.75
Monze|Apr 18|3738.21
Mpika|Nov 16|2714.57
Mpika|Dec 16|2757.43
Mpika|Jan 17|3167.45
Mpika|Feb 17|3137.83
Mpika|Mar 17|3103.45
Mpika|Apr 17|3319.76
Mpika|May 17|3241.22
Mpika|Jun 17|3241.33
Mpika|Jul 17|
Mpika|Aug 17|
Mpika|Sep 17|2673.79
Mpika|Oct 17|2940.46
Mpika|Nov 17|2945.15
Mpika|Dec 17|2751.78
Mpika|Jan 18|2960.87
Mpika|Feb 18|2595.5
Mpika|Mar 18|2581.55
Mpika|Apr 18|2901.58
Ndola|Nov 16|4661.46
Ndola|Dec 16|4661.46
Ndola|Jan 17|4067.79
Ndola|Feb 17|4627.85
Ndola|Mar 17|4631.1
Ndola|Apr 17|4612.35
Ndola|May 17|5042.01
Ndola|Jun 17|5027.87
Ndola|Jul 17|5005.27
Ndola|Aug 17|4947.7
Ndola|Sep 17|4891.91
Ndola|Oct 17|4864.21
Ndola|Nov 17|4875.93
Ndola|Dec 17|4883.65
Ndola|Jan 18|4941.57
Ndola|Feb 18|4941.57
Ndola|Mar 18|4845.21
Ndola|Apr 18|4967.11
Solwezi|Nov 16|4079.79
Solwezi|Dec 16|4115.17
Solwezi|Jan 17|4161.71
Solwezi|Feb 17|4161.62
Solwezi|Mar 17|4120.87
Solwezi|Apr 17|
Solwezi|May 17|4058.55
Solwezi|Jun 17|4116.84
Solwezi|Jul 17|4048.62
Solwezi|Aug 17|4092.43
Solwezi|Sep 17|4003.2
Solwezi|Oct 17|
Solwezi|Nov 17|4034.11
Solwezi|Dec 17|4115.17
Solwezi|Jan 18|4100.7
Solwezi|Feb 18|3810.98
Solwezi|Mar 18|4478.76
Solwezi|Apr 18|4208.19
